host,ip,port,protocol,title,domain,country,city,link,org
154.64.234.136:8888,154.64.234.136,8888,http,Directory listing for /,,US,Los Angeles,http://154.64.234.136:8888,"Cogent Communications, LLC"
198.46.159.171:8888,198.46.159.171,8888,http,Directory listing for /,,US,Rancho Cucamonga,http://198.46.159.171:8888,HostPapa
204.152.221.119:8888,204.152.221.119,8888,http,Directory listing for /,,US,Apple Valley,http://204.152.221.119:8888,HostPapa
135.181.216.87:8888,135.181.216.87,8888,http,Directory listing for /,,FI,Helsinki,http://135.181.216.87:8888,Hetzner Online GmbH
45.76.214.133:8888,45.76.214.133,8888,http,Directory listing for /,,JP,Tokyo,http://45.76.214.133:8888,"The Constant Company, LLC"
104.194.90.100:8443,104.194.90.100,8443,http,Directory listing for /,,US,Los Angeles,http://104.194.90.100:8443,IT7 Networks Inc
https://95.85.240.110:8443,95.85.240.110,8443,https,Index of /,,RU,Moscow,https://95.85.240.110:8443,Denis Aleksandrovich Iakovlev
187.110.166.130:8888,187.110.166.130,8888,http,Directory listing for /,,BR,Sao Paulo,http://187.110.166.130:8888,EVEO S.A.
191.223.220.68:8880,191.223.220.68,8880,http,Index of /,,BR,Rio de Janeiro,http://191.223.220.68:8880,DMIT Cloud Services
144.202.121.231:8443,144.202.121.231,8443,http,Directory listing for /,,US,Los Angeles,http://144.202.121.231:8443,"The Constant Company, LLC"
23.238.9.106:9443,23.238.9.106,9443,http,Directory listing for /,,US,Seattle,http://23.238.9.106:9443,HostPapa
https://191.222.208.150:8443,191.222.208.150,8443,https,Directory listing for /,,BR,Rio de Janeiro,https://191.222.208.150:8443,DMIT Cloud Services
130.94.34.165:8000,130.94.34.165,8000,http,Directory listing for /,,CN,Hong Kong,http://130.94.34.165:8000,LIGHT NODE LIMITED
95.169.7.137:8000,95.169.7.137,8000,http,Directory listing for /,,US,Los Angeles,http://95.169.7.137:8000,IT7 Networks Inc
172.98.130.238:8888,172.98.130.238,8888,http,Directory listing for /,,US,Carmel,http://172.98.130.238:8888,Xiber
74.82.196.74,74.82.196.74,80,http,Directory listing for /,,JP,Tokyo,http://74.82.196.74,IT7 Networks Inc
193.200.221.60:8000,193.200.221.60,8000,http,Directory listing for /,,NO,Sandefjord,http://193.200.221.60:8000,Gigahost AS
165.254.188.228,165.254.188.228,80,http,Directory listing for /,,US,Redmond,http://165.254.188.228,"NTT America, Inc."
34.180.3.57:8880,34.180.3.57,8880,http,Directory listing for /,,IN,Mumbai,http://34.180.3.57:8880,Google LLC
38.76.160.136:8000,38.76.160.136,8000,http,Index of /,,US,Washington,http://38.76.160.136:8000,cognetcloud INC
154.36.172.148:8888,154.36.172.148,8888,http,Directory listing for /,,US,Los Angeles,http://154.36.172.148:8888,NetLab Global
115.205.243.243:8888,115.205.243.243,8888,http,Index of /,,CN,Hangzhou,http://115.205.243.243:8888,Chinanet
47.77.211.222:9090,47.77.211.222,9090,http,Directory listing for /,,US,Los Angeles,http://47.77.211.222:9090,"Alibaba (US) Technology Co., Ltd."
46.225.174.213:9999,46.225.174.213,9999,http,Directory listing for /,,DE,Gunzenhausen,http://46.225.174.213:9999,Hetzner Online GmbH
139.180.220.101:9999,139.180.220.101,9999,http,Directory listing for /,,SG,Singapore,http://139.180.220.101:9999,"The Constant Company, LLC"
8.140.109.75,8.140.109.75,80,http,Index of /,,CN,Beijing,http://8.140.109.75,"Hangzhou Alibaba Advertising Co.,Ltd."
167.17.68.242:9999,167.17.68.242,9999,http,Directory listing for /,,US,Los Angeles,http://167.17.68.242:9999,GTHost
47.90.208.65,47.90.208.65,80,http,Directory listing for /,,US,Virginia Beach,http://47.90.208.65,"Alibaba (US) Technology Co., Ltd."
77.42.7.27:9999,77.42.7.27,9999,http,Directory listing for /,,FI,Helsinki,http://77.42.7.27:9999,Hetzner Online GmbH
91.134.62.9:9090,91.134.62.9,9090,http,Directory listing for /,,FR,Gravelines,http://91.134.62.9:9090,OVH SAS
91.235.136.65:9090,91.235.136.65,9090,http,Directory listing for /,,NL,Amsterdam,http://91.235.136.65:9090,SkyCore Technologies L.L.C-FZ
123.60.172.142:9000,123.60.172.142,9000,http,Directory listing for /,,CN,Shanghai,http://123.60.172.142:9000,Huawei Cloud Service data center
144.91.73.49:8888,144.91.73.49,8888,http,Directory listing for /,,FR,Lauterbourg,http://144.91.73.49:8888,Contabo GmbH
49.232.226.134,49.232.226.134,80,http,Index of /,,CN,Beijing,http://49.232.226.134,Shenzhen Tencent Computer Systems Company Limited
95.169.5.128,95.169.5.128,80,http,Directory listing for /,,US,Los Angeles,http://95.169.5.128,IT7 Networks Inc
43.132.29.64,43.132.29.64,80,http,Index of /,,BR,Sao Paulo,http://43.132.29.64,"Tencent Building, Kejizhongyi Avenue"
107.172.159.155,107.172.159.155,80,http,Directory listing for /,,US,Rancho Cucamonga,http://107.172.159.155,HostPapa
135.181.16.110:8888,135.181.16.110,8888,http,Directory listing for /,,FI,Helsinki,http://135.181.16.110:8888,Hetzner Online GmbH
38.207.168.86:9999,38.207.168.86,9999,http,Directory listing for /,,US,Los Angeles,http://38.207.168.86:9999,NetLab Global
101.42.181.118:8888,101.42.181.118,8888,http,Directory listing for /,,CN,Beijing,http://101.42.181.118:8888,Shenzhen Tencent Computer Systems Company Limited
128.201.61.161:8888,128.201.61.161,8888,http,Directory listing for /,,BR,Dois Irmaos,http://128.201.61.161:8888,CLUXTER TECNOLOGIA
38.64.60.93,38.64.60.93,80,http,Directory listing for /,,US,El Segundo,http://38.64.60.93,EASY LINK LLC
https://repo.gayuh.net.id,104.21.43.129,443,https,Index of /,gayuh.net.id,US,San Francisco,https://repo.gayuh.net.id,"Cloudflare, Inc."
https://ros.packages.techfak.net,129.70.142.193,443,https,Index of /,techfak.net,DE,Bielefeld,https://ros.packages.techfak.net,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
129.70.142.193,129.70.142.193,80,http,Index of /,,DE,Bielefeld,http://129.70.142.193,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
165.99.43.145,165.99.43.145,80,http,Directory listing for /,,CN,Hong Kong,http://165.99.43.145,cognetcloud INC
3.12.34.194,3.12.34.194,80,http,Directory listing for /,,US,Columbus,http://3.12.34.194,"Amazon.com, Inc."
8.146.229.135:8765,8.146.229.135,8765,http,Directory listing for /,,CN,Beijing,http://8.146.229.135:8765,"Hangzhou Alibaba Advertising Co.,Ltd."
107.174.255.14,107.174.255.14,80,http,Directory listing for /,,US,Rancho Cucamonga,http://107.174.255.14,HostPapa
104.238.150.141,104.238.150.141,80,http,Directory listing for /,,JP,Tokyo,http://104.238.150.141,"The Constant Company, LLC"
152.136.100.92:9999,152.136.100.92,9999,http,Directory listing for /,,CN,Beijing,http://152.136.100.92:9999,Shenzhen Tencent Computer Systems Company Limited
https://38.47.122.81:7443,38.47.122.81,7443,https,Index of /,,CN,Hong Kong,https://38.47.122.81:7443,Cloudie Limited
5.255.102.165,5.255.102.165,80,http,Index of /,,NL,Alkmaar,http://5.255.102.165,The Infrastructure Group B.V.
107.175.219.48:8000,107.175.219.48,8000,http,Directory listing for /,,US,Rancho Cucamonga,http://107.175.219.48:8000,HostPapa
104.207.154.212,104.207.154.212,80,http,Directory listing for /,,US,Los Angeles,http://104.207.154.212,"The Constant Company, LLC"
8.134.177.161,8.134.177.161,80,http,Directory listing for /,,CN,Guangzhou,http://8.134.177.161,"Hangzhou Alibaba Advertising Co.,Ltd."
38.64.56.190:8000,38.64.56.190,8000,http,Directory listing for /,,US,El Segundo,http://38.64.56.190:8000,EASY LINK LLC
20.89.111.121,20.89.111.121,80,http,Directory listing for /,,JP,Tokyo,http://20.89.111.121,Microsoft Corporation
43.167.174.170:9999,43.167.174.170,9999,http,Directory listing for /,,JP,Tokyo,http://43.167.174.170:9999,"Tencent Building, Kejizhongyi Avenue"
82.47.62.88:2080,82.47.62.88,2080,http,Directory listing for /,,GB,South Shore,http://82.47.62.88:2080,Netgrid Host Ltd
https://154.17.224.224,154.17.224.224,443,https,Index of /,,US,Los Angeles,https://154.17.224.224,DMIT Cloud Services
64.110.64.145,64.110.64.145,80,http,Index of /,,KR,Seoul,http://64.110.64.145,Oracle Corporation
5.78.105.83:9999,5.78.105.83,9999,http,Directory listing for /,,US,Hillsboro,http://5.78.105.83:9999,Hetzner Online GmbH
https://154.17.28.36,154.17.28.36,443,https,Index of /,,US,Los Angeles,https://154.17.28.36,DMIT Cloud Services
https://49.232.226.134,49.232.226.134,443,https,Index of /,,CN,Beijing,https://49.232.226.134,Shenzhen Tencent Computer Systems Company Limited
https://repo.alsyundawy.com,104.21.26.6,443,https,Index of /,alsyundawy.com,US,San Francisco,https://repo.alsyundawy.com,"Cloudflare, Inc."
download.keyqc.cn,172.67.158.205,80,http,Index of /,keyqc.cn,US,San Francisco,http://download.keyqc.cn,"Cloudflare, Inc."
yongxuan.wicp.net,158.101.159.131,80,http,Index of /,wicp.net,JP,Tokyo,http://yongxuan.wicp.net,Oracle Corporation
https://yongxuan.wicp.net,158.101.159.131,443,https,Index of /,wicp.net,JP,Tokyo,https://yongxuan.wicp.net,Oracle Corporation
https://158.101.159.131,158.101.159.131,443,https,Index of /,,JP,Tokyo,https://158.101.159.131,Oracle Corporation
146.235.197.15,146.235.197.15,80,http,Directory listing for /,,US,San Jose,http://146.235.197.15,Oracle Corporation
https://43.247.22.233,43.247.22.233,443,https,Index of /,,ID,Jakarta,https://43.247.22.233,Orion Cyber Internet
https://95.85.240.110,95.85.240.110,443,https,Index of /,,RU,Moscow,https://95.85.240.110,Denis Aleksandrovich Iakovlev
https://131.246.124.90,131.246.124.90,443,https,Index of /,,DE,Kaiserslautern,https://131.246.124.90,Rheinland-Pfaelzische Technische Universitaet Kaiserslautern-Landau
https://kmq.jp.packages.macports.org,150.65.7.130,443,https,Index of /,macports.org,JP,Nomi,https://kmq.jp.packages.macports.org,Japan Advanced Institute of Science and Technology
165.154.193.165,165.154.193.165,80,http,Directory listing for /,,SG,Singapore,http://165.154.193.165,Scloud Pte Ltd
48.193.44.70,48.193.44.70,80,http,Directory listing for /,,ID,Jakarta,http://48.193.44.70,Microsoft Corporation
119.28.161.143,119.28.161.143,80,http,Index of /,,KR,Seoul,http://119.28.161.143,"Tencent Building, Kejizhongyi Avenue"
79.137.65.137,79.137.65.137,80,http,Directory listing for /,,FR,Roubaix,http://79.137.65.137,OVH SAS
47.74.1.145,47.74.1.145,80,http,Index of /,,JP,Tokyo,http://47.74.1.145,"Alibaba (US) Technology Co., Ltd."
216.167.0.209:2080,216.167.0.209,2080,http,Directory listing for /,,US,Redmond,http://216.167.0.209:2080,"NTT America, Inc."
200.14.245.12,200.14.245.12,80,http,Index of /syslab,,CL,Santiago,http://200.14.245.12,Telmex Chile Internet S.A.
45.76.170.149,45.76.170.149,80,http,Directory listing for /,,US,Los Angeles,http://45.76.170.149,"The Constant Company, LLC"
132.226.23.253:9999,132.226.23.253,9999,http,Index of /,,KR,Seoul,http://132.226.23.253:9999,Oracle Corporation
173.249.210.76:8080,173.249.210.76,8080,http,Directory listing for /,,US,San Jose,http://173.249.210.76:8080,"tzulo, inc."
https://mse.uk.distfiles.macports.org,212.219.56.184,443,https,Index of /,macports.org,GB,Kent,https://mse.uk.distfiles.macports.org,Jisc Services Limited
45.154.13.99:8080,45.154.13.99,8080,http,Directory listing for /,,CN,Hong Kong,http://45.154.13.99:8080,MOACK.Co.LTD
https://macports-distfiles.mirrorservice.org,212.219.56.184,443,https,Index of /,mirrorservice.org,GB,Kent,https://macports-distfiles.mirrorservice.org,Jisc Services Limited
38.244.38.176:8080,38.244.38.176,8080,http,Directory listing for /,,US,Los Angeles,http://38.244.38.176:8080,"Cogent Communications, LLC"
148.116.83.13:8080,148.116.83.13,8080,http,Directory listing for /,,CA,Montreal,http://148.116.83.13:8080,Oracle Corporation
154.12.32.156:8080,154.12.32.156,8080,http,Directory listing for /,,US,Los Angeles,http://154.12.32.156:8080,NetLab Global
45.192.198.126:8080,45.192.198.126,8080,http,Directory listing for /,,CN,Hong Kong,http://45.192.198.126:8080,ACCK LLC
149.104.26.250:8080,149.104.26.250,8080,http,Directory listing for /,,CN,Hong Kong,http://149.104.26.250:8080,LUCIDACLOUD LIMITED
38.244.38.114:8080,38.244.38.114,8080,http,Directory listing for /,,US,Los Angeles,http://38.244.38.114:8080,"Cogent Communications, LLC"
43.130.36.116:8080,43.130.36.116,8080,http,Directory listing for /,,US,Santa Clara,http://43.130.36.116:8080,"Tencent Building, Kejizhongyi Avenue"
66.154.101.91:8080,66.154.101.91,8080,http,Directory listing for /,,CA,Vancouver,http://66.154.101.91:8080,"CYBERCON, INC."
172.245.6.142:8080,172.245.6.142,8080,http,Directory listing for /,,US,Rancho Cucamonga,http://172.245.6.142:8080,HostPapa
3.112.243.184:8080,3.112.243.184,8080,http,Directory listing for /,,JP,Tokyo,http://3.112.243.184:8080,"Amazon.com, Inc."
45.8.115.83:8080,45.8.115.83,8080,http,Directory listing for /,,JP,Osaka,http://45.8.115.83:8080,xTom
79.137.65.137:8080,79.137.65.137,8080,http,Directory listing for /,,FR,Roubaix,http://79.137.65.137:8080,OVH SAS
170.106.109.139:8080,170.106.109.139,8080,http,Directory listing for /,,US,Santa Clara,http://170.106.109.139:8080,"Tencent Building, Kejizhongyi Avenue"
43.98.194.75:8080,43.98.194.75,8080,http,Directory listing for /,,SG,Singapore,http://43.98.194.75:8080,"Alibaba (US) Technology Co., Ltd."
23.94.223.159:8080,23.94.223.159,8080,http,Directory listing for /,,US,Rancho Cucamonga,http://23.94.223.159:8080,HostPapa
129.226.60.230:8080,129.226.60.230,8080,http,Directory listing for /,,CN,Hong Kong,http://129.226.60.230:8080,"Tencent Building, Kejizhongyi Avenue"
172.104.49.9:8080,172.104.49.9,8080,http,Directory listing for /,,SG,Singapore,http://172.104.49.9:8080,Akamai Connected Cloud
8.216.24.141:8080,8.216.24.141,8080,http,Directory listing for /,,JP,Tokyo,http://8.216.24.141:8080,"Alibaba (US) Technology Co., Ltd."
43.173.69.8:8080,43.173.69.8,8080,http,Directory listing for /,,US,Santa Clara,http://43.173.69.8:8080,"Tencent Building, Kejizhongyi Avenue"
66.42.97.168:8080,66.42.97.168,8080,http,Directory listing for /,,US,Los Angeles,http://66.42.97.168:8080,"The Constant Company, LLC"
43.165.184.31:8080,43.165.184.31,8080,http,Directory listing for /,,JP,Tokyo,http://43.165.184.31:8080,"Tencent Building, Kejizhongyi Avenue"
34.85.29.241:8080,34.85.29.241,8080,http,Directory listing for /,,JP,Tokyo,http://34.85.29.241:8080,Google LLC
139.198.112.23:8080,139.198.112.23,8080,http,Directory listing for /,,CN,Beijing,http://139.198.112.23:8080,Cloud Computing HK Limited
155.94.171.19:8080,155.94.171.19,8080,http,Directory listing for /,,US,Buffalo,http://155.94.171.19:8080,HostPapa
202.91.35.225:8080,202.91.35.225,8080,http,Directory listing for /,,US,Los Angeles,http://202.91.35.225:8080,CNSERVERS LLC
104.223.50.179:8080,104.223.50.179,8080,http,Directory listing for /,,US,Buffalo,http://104.223.50.179:8080,HostPapa
8.133.4.182:8080,8.133.4.182,8080,http,Directory listing for /,,CN,Shanghai,http://8.133.4.182:8080,"Hangzhou Alibaba Advertising Co.,Ltd."
38.145.220.193:2053,38.145.220.193,2053,http,Directory listing for /,,US,Los Angeles,http://38.145.220.193:2053,Enzu Inc
35.212.135.56,35.212.135.56,80,http,Directory listing for /,,US,The Dalles,http://35.212.135.56,Google LLC
95.169.20.181,95.169.20.181,80,http,Directory listing for /,,US,Los Angeles,http://95.169.20.181,IT7 Networks Inc
107.174.88.128:2080,107.174.88.128,2080,http,Directory listing for /,,US,Santa Clara,http://107.174.88.128:2080,HostPapa
https://fco.it.distfiles.macports.org,90.147.160.73,443,https,Index of /,macports.org,IT,Barletta,https://fco.it.distfiles.macports.org,Consortium GARR
https://git.centos.org,38.145.33.25,443,https,Index of /,centos.org,US,Chandler,https://git.centos.org,"Red Hat, Inc."
https://src.sigs.centos.org,38.145.33.25,443,https,Index of /,centos.org,US,Chandler,https://src.sigs.centos.org,"Red Hat, Inc."
95.216.124.247:8000,95.216.124.247,8000,http,Directory listing for /,,FI,Helsinki,http://95.216.124.247:8000,Hetzner Online GmbH
132.226.169.119,132.226.169.119,80,http,Index of /,,KR,Seoul,http://132.226.169.119,Oracle Corporation
https://23.95.18.35,23.95.18.35,443,https,Index of /,,US,Rancho Cucamonga,https://23.95.18.35,HostPapa
