原始URL,最终URL,状态,节点数,HTTP码,响应秒数,是否有更新,历史检查,历史更新,更新频率,上次更新时间,摘要
http://101.42.181.118:8888/mihomo_sub.yaml,http://101.42.181.118:8888/mihomo_sub.yaml,无有效节点,0,200,0.52,否,3,1,1/3,2026-09-02 22:04:30,mixed-port: 7890 allow-lan: true bind-address: '*' mode: rule log-level: info ipv6: true prefer-ipv6: true external-controller: '127.0.0.1:9090' find-process-mode: strict unified-delay: true tcp-concurrent: true geodata-mode: true geo-auto-update: true geo-update-interval: 24 geox-url:     geoip: 'https://cdn.jsdelivr.net/gh/MetaCubeX/meta-rules-dat@release/geoip.dat'     geosite: 'https://cdn.jsdelivr.net/gh/MetaCubeX/meta-rules-dat@release/geosite.dat'     mmdb: 'https://cdn.jsdelivr.net/gh/Me
http://101.42.181.118:8888/mihomo_sub_full.yaml,http://101.42.181.118:8888/mihomo_sub_full.yaml,提取成功,34,200,2.74,否,3,1,1/3,2026-09-02 22:04:30,
http://101.42.181.118:8888/sub.txt,http://101.42.181.118:8888/sub.txt,无有效节点,0,200,3.62,否,3,1,1/3,2026-09-02 22:04:30,mixed-port: 7890 allow-lan: true bind-address: '*' mode: rule log-level: info ipv6: true prefer-ipv6: true external-controller: '127.0.0.1:9090' find-process-mode: strict unified-delay: true tcp-concurrent: true geodata-mode: true geo-auto-update: true geo-update-interval: 24 geox-url:     geoip: 'https://cdn.jsdelivr.net/gh/MetaCubeX/meta-rules-dat@release/geoip.dat'     geosite: 'https://cdn.jsdelivr.net/gh/MetaCubeX/meta-rules-dat@release/geosite.dat'     mmdb: 'https://cdn.jsdelivr.net/gh/Me
http://101.42.181.118:8888/sub2.yaml,http://101.42.181.118:8888/sub2.yaml,提取成功,34,200,2.38,否,3,1,1/3,2026-09-02 22:04:30,
http://101.42.181.118:8888/test_shortid.yaml,http://101.42.181.118:8888/test_shortid.yaml,提取成功,1,200,2.98,否,3,1,1/3,2026-09-02 22:04:30,
http://101.47.28.72:8080/sub_76197950f481df62.yaml,http://101.47.28.72:8080/sub_76197950f481df62.yaml,提取成功,3,200,0.48,否,3,1,1/3,2026-09-02 22:04:30,
http://103.160.100.205:18080/899a1a0f4e3b5bc5b32f4928350df178.yaml,http://103.160.100.205:18080/899a1a0f4e3b5bc5b32f4928350df178.yaml,提取成功,2,200,0.25,否,3,1,1/3,2026-09-02 22:04:30,
http://103.160.100.205:18080/aa4dfbffe1c30ec34ea5afbbdbd78010.yaml,http://103.160.100.205:18080/aa4dfbffe1c30ec34ea5afbbdbd78010.yaml,提取成功,2,200,0.26,否,3,1,1/3,2026-09-02 22:04:30,
http://103.227.224.60:18080/a1924bc7.yaml,http://103.227.224.60:18080/a1924bc7.yaml,提取成功,1,200,0.33,否,3,1,1/3,2026-09-02 22:04:30,
http://103.229.54.103:18080/b9321fabcaf6c26bbcadb6ce57ec2fa4570ef691aebf6993.yaml,http://103.229.54.103:18080/b9321fabcaf6c26bbcadb6ce57ec2fa4570ef691aebf6993.yaml,提取成功,2,200,0.35,否,3,1,1/3,2026-09-02 22:04:30,
http://103.240.197.214:8088/clash_hk_9f2k7.yaml,http://103.240.197.214:8088/clash_hk_9f2k7.yaml,提取成功,2,200,0.35,否,3,1,1/3,2026-09-02 22:04:30,
http://103.70.115.106:8080/71fc2ebf625179f9.yaml,http://103.70.115.106:8080/71fc2ebf625179f9.yaml,请求失败,0,0,0.0,否,3,1,1/3,2026-09-02 22:04:30,
http://104.129.23.171:18080/688ccfdff3b3361aae84fa327a8733d3.yaml,http://104.129.23.171:18080/688ccfdff3b3361aae84fa327a8733d3.yaml,提取成功,1,200,0.2,否,3,1,1/3,2026-09-02 22:04:30,
http://104.129.23.171:18080/subscription-url.txt,http://104.129.23.171:18080/subscription-url.txt,无有效节点,0,200,0.2,否,3,1,1/3,2026-09-02 22:04:30,http://104.129.23.171:18080/688ccfdff3b3361aae84fa327a8733d3.yaml 
http://104.194.86.29:18080/clash-54f2f22d926774c26ce5cfe7e921a910.yaml,http://104.194.86.29:18080/clash-54f2f22d926774c26ce5cfe7e921a910.yaml,提取成功,1,200,0.11,否,3,1,1/3,2026-09-02 22:04:30,
http://104.194.86.29:443/b0f3f51c37c93a20f5ee3276.yaml,http://104.194.86.29:443/b0f3f51c37c93a20f5ee3276.yaml,提取成功,1,200,0.08,否,3,1,1/3,2026-09-02 22:04:30,
http://104.194.90.100:8443/fad607981dd460c7.yaml,http://104.194.90.100:8443/fad607981dd460c7.yaml,提取成功,1,200,0.09,否,3,1,1/3,2026-09-02 22:04:30,
http://104.194.94.24:18080/19c4839ae76b229f9b96b41c9f088b77485b1b42fb145028.yaml,http://104.194.94.24:18080/19c4839ae76b229f9b96b41c9f088b77485b1b42fb145028.yaml,提取成功,1,200,0.11,否,3,1,1/3,2026-09-02 22:04:30,
http://104.194.94.24:18080/c54861c7b89025894044acc59188cca0c895df39dd864211d1d159145dd141e5.yaml,http://104.194.94.24:18080/c54861c7b89025894044acc59188cca0c895df39dd864211d1d159145dd141e5.yaml,提取成功,1,200,0.11,否,3,1,1/3,2026-09-02 22:04:30,
http://104.207.154.212/clash-verge.yaml,http://104.207.154.212/clash-verge.yaml,提取成功,1,200,0.06,否,3,1,1/3,2026-09-02 22:04:30,
http://104.207.154.212/f6f5a1228d1823fc5cbbbe984c1c5462.yaml,http://104.207.154.212/f6f5a1228d1823fc5cbbbe984c1c5462.yaml,提取成功,1,200,0.1,否,3,1,1/3,2026-09-02 22:04:30,
http://104.207.154.212/vultr-ss-6af9307cd867575b.yaml,http://104.207.154.212/vultr-ss-6af9307cd867575b.yaml,提取成功,1,200,0.05,否,3,1,1/3,2026-09-02 22:04:30,
http://104.207.154.212/vultr.yaml,http://104.207.154.212/vultr.yaml,提取成功,1,200,0.07,否,3,1,1/3,2026-09-02 22:04:30,
http://104.223.50.179:8080/all_f0938934a26ebfb1.yaml,http://104.223.50.179:8080/all_f0938934a26ebfb1.yaml,提取成功,2,200,0.12,否,3,1,1/3,2026-09-02 22:04:30,
http://104.223.50.179:8080/sub_f0938934a26ebfb1.yaml,http://104.223.50.179:8080/sub_f0938934a26ebfb1.yaml,提取成功,2,200,0.12,否,3,1,1/3,2026-09-02 22:04:30,
http://104.238.150.141/373ee42f887927b783057f3a13423bea02e4271a1d669a66.txt,http://104.238.150.141/373ee42f887927b783057f3a13423bea02e4271a1d669a66.txt,提取成功,8,200,0.26,否,3,1,1/3,2026-09-02 22:04:30,
http://104.238.150.141/45d134fafcc5eaf4be416268368d8f05de3e7b80dd636e69.txt,http://104.238.150.141/45d134fafcc5eaf4be416268368d8f05de3e7b80dd636e69.txt,提取成功,8,200,0.27,否,3,1,1/3,2026-09-02 22:04:30,
http://104.238.150.141/601c7fad8f922fa668ccef6c14fe419958d803a0676cf1cd.txt,http://104.238.150.141/601c7fad8f922fa668ccef6c14fe419958d803a0676cf1cd.txt,提取成功,8,200,0.29,否,3,1,1/3,2026-09-02 22:04:30,
http://104.238.150.141/654b57ec36d6d5915177559162ea8ed6dadc06e1366316b5.txt,http://104.238.150.141/654b57ec36d6d5915177559162ea8ed6dadc06e1366316b5.txt,提取成功,8,200,0.27,否,3,1,1/3,2026-09-02 22:04:30,
http://104.238.150.141/adfcf4bb32726b49bc48a0c275922a53b9ababa7.yaml,http://104.238.150.141/adfcf4bb32726b49bc48a0c275922a53b9ababa7.yaml,提取成功,12,200,0.28,否,3,1,1/3,2026-09-02 22:04:30,
http://104.238.150.141/afc41046f14a09642f3282e76f8d88e209406353cc1882c0.txt,http://104.238.150.141/afc41046f14a09642f3282e76f8d88e209406353cc1882c0.txt,提取成功,8,200,0.3,否,3,1,1/3,2026-09-02 22:04:30,
http://104.238.150.141/bc4aa9d77111587fe2403109b53a7b337c753d58f40353c1.txt,http://104.238.150.141/bc4aa9d77111587fe2403109b53a7b337c753d58f40353c1.txt,提取成功,8,200,0.31,否,3,1,1/3,2026-09-02 22:04:30,
http://104.238.150.141/c81f94478d44d0805835c9f04374ce4cc88afe7f8df43819.yaml,http://104.238.150.141/c81f94478d44d0805835c9f04374ce4cc88afe7f8df43819.yaml,提取成功,12,200,0.27,否,3,1,1/3,2026-09-02 22:04:30,
http://104.238.150.141/f7aa2f146841c8b93e8021869b9c087870434516d4f3efe1.txt,http://104.238.150.141/f7aa2f146841c8b93e8021869b9c087870434516d4f3efe1.txt,提取成功,8,200,0.3,否,3,1,1/3,2026-09-02 22:04:30,
http://104.238.150.141/p.txt,http://104.238.150.141/p.txt,提取成功,12,200,0.29,否,3,1,1/3,2026-09-02 22:04:30,
http://104.238.150.141/p.yaml,http://104.238.150.141/p.yaml,提取成功,12,200,0.31,否,3,1,1/3,2026-09-02 22:04:30,
http://104.244.91.223:2096/5e08aaba1be0cc532283a055.yaml,http://104.244.91.223:2096/5e08aaba1be0cc532283a055.yaml,提取成功,3,200,0.2,否,3,1,1/3,2026-09-02 22:04:30,
http://107.172.159.155/138d73ca81e2ed391fc82d28.yaml,http://107.172.159.155/138d73ca81e2ed391fc82d28.yaml,提取成功,1,200,0.18,否,3,1,1/3,2026-09-02 22:04:30,
http://107.172.159.155/9d929d3638508d0986bdb255.yaml,http://107.172.159.155/9d929d3638508d0986bdb255.yaml,提取成功,1,200,0.18,否,3,1,1/3,2026-09-02 22:04:30,
http://107.173.178.139:8080/1fen.yaml,http://107.173.178.139:8080/1fen.yaml,提取成功,42,200,0.36,否,3,1,1/3,2026-09-02 22:04:30,
http://107.173.178.139:8080/clash.yaml,http://107.173.178.139:8080/clash.yaml,提取成功,2,200,0.56,否,3,1,1/3,2026-09-02 22:04:30,
http://107.173.178.139:8080/config.yaml,http://107.173.178.139:8080/config.yaml,提取成功,7,200,0.8,否,3,1,1/3,2026-09-02 22:04:30,
http://107.173.178.139:8080/config1.yaml,http://107.173.178.139:8080/config1.yaml,提取成功,1,200,1.05,否,3,1,1/3,2026-09-02 22:04:30,
http://107.174.255.14/UAI6V_NH-i5van6Ij-ED1qoCoNkQ9Yg0.yaml,http://107.174.255.14/UAI6V_NH-i5van6Ij-ED1qoCoNkQ9Yg0.yaml,提取成功,1,200,0.13,否,3,1,1/3,2026-09-02 22:04:30,
http://107.174.88.128:2080/55ae50adc68444c7b5103b7d079daf92.yaml,http://107.174.88.128:2080/55ae50adc68444c7b5103b7d079daf92.yaml,提取成功,1,200,0.16,否,3,1,1/3,2026-09-02 22:04:30,
http://107.175.219.48:8000/clash-meta-v1.yaml,http://107.175.219.48:8000/clash-meta-v1.yaml,提取成功,2,200,0.15,否,3,1,1/3,2026-09-02 22:04:30,
http://107.175.219.48:8000/clash-meta.yaml,http://107.175.219.48:8000/clash-meta.yaml,提取成功,2,200,0.13,否,3,1,1/3,2026-09-02 22:04:30,
http://107.175.219.48:8000/subscribe.yaml,http://107.175.219.48:8000/subscribe.yaml,提取成功,2,200,0.16,否,3,1,1/3,2026-09-02 22:04:30,
http://107.175.24.218:8088/vps-xray-232340d1b74d96d3.yaml,http://107.175.24.218:8088/vps-xray-232340d1b74d96d3.yaml,提取成功,2,200,0.15,否,3,1,1/3,2026-09-02 22:04:30,
http://108.187.15.253:8080/50d4892a8d33b93cce99371d.yaml,http://108.187.15.253:8080/50d4892a8d33b93cce99371d.yaml,提取成功,1,200,0.32,否,3,1,1/3,2026-09-02 22:04:30,
http://108.187.15.253:8080/d04ab27ee4358b2fb2c68ad6.yaml,http://108.187.15.253:8080/d04ab27ee4358b2fb2c68ad6.yaml,提取成功,1,200,0.32,否,3,1,1/3,2026-09-02 22:04:30,
http://108.61.206.125:2096/7a83a3f9d97a29ab26191c92d40a4060.yaml,http://108.61.206.125:2096/7a83a3f9d97a29ab26191c92d40a4060.yaml,提取成功,1,200,0.06,否,3,1,1/3,2026-09-02 22:04:30,
http://108.61.206.125:2096/sub-2.yaml,http://108.61.206.125:2096/sub-2.yaml,提取成功,1,200,0.02,否,3,1,1/3,2026-09-02 22:04:30,
http://108.61.206.125:2096/sub-3.yaml,http://108.61.206.125:2096/sub-3.yaml,提取成功,1,200,0.04,否,3,1,1/3,2026-09-02 22:04:30,
http://108.61.206.125:2096/sub.yaml,http://108.61.206.125:2096/sub.yaml,提取成功,1,200,0.09,否,3,1,1/3,2026-09-02 22:04:30,
http://115.205.243.243:8888/clash-verge-final-1.yaml,http://115.205.243.243:8888/clash-verge-final-1.yaml,提取成功,5,200,2.79,否,3,1,1/3,2026-09-02 22:04:30,
http://115.205.243.243:8888/clash-verge-final.yaml,http://115.205.243.243:8888/clash-verge-final.yaml,提取成功,7,200,2.91,否,3,1,1/3,2026-09-02 22:04:30,
http://115.205.243.243:8888/quanx.yaml,http://115.205.243.243:8888/quanx.yaml,无有效节点,0,200,0.53,否,3,1,1/3,2026-09-02 22:04:30,"[general] excluded_routes = 192.168.0.0/16,10.0.0.0/8,172.16.0.0/12,100.64.0.0/10,17.0.0.0/8 dns_exclusion_list = *.lan,*.direct,cable.auth.com,*.msftconnecttest.com,*.msftncsi.com,network-test.debian.org,detectportal.firefox.com,resolver1.opendns.com,*.srv.nintendo.net,*.stun.playstation.net,xbox.*.microsoft.com,*.xboxlive.com,stun.*,global.turn.twilio.com,global.stun.twilio.com,app.yinxiang.com,injections.adguard.org,local.adguard.org,cable.auth.com,localhost.*.qq.com,localhost.*.weixin.qq.com"
http://117.175.182.97:8081/333.yaml,http://117.175.182.97:8081/333.yaml,提取成功,39,200,0.47,否,3,1,1/3,2026-09-02 22:04:30,
http://118.178.57.62:3000/BIPWEB.yaml,http://118.178.57.62:3000/BIPWEB.yaml,无有效节点,0,200,0.52,否,3,1,1/3,2026-09-02 22:04:30,# yonbip-login.yaml  web:    url: https://yonbiptest.zyd.cn/yonbip/resources/uap/rbac/login/main/index.html  tasks:    - name: 打开WEB登录页      flow:        - sleep: 1000    - name: 登录WEB BIP      flow:        - ai: 在用户名输入框输入 300032        - ai: 在密码输入框输入 192132@d        - ai: 点击登录按钮        - sleep: 1000    - name: 打开客户订单      flow:       - ai: 在页面右上角应用框输入  物料申请单       - ai: 点击菜单打开 物料申请单       - sleep: 2000       - ai: 在页面右上角点击新建按钮       - sleep: 2000       - ai: 在目的组织下拉框 选择集团       - ai: 在申请类型下拉框 选
http://118.178.57.62:3000/BIPWEv2.yaml,http://118.178.57.62:3000/BIPWEv2.yaml,无有效节点,0,200,0.52,否,3,1,1/3,2026-09-02 22:04:30,# yonbip-login.yaml  web:    url: https://yonbiptest.zyd.cn/yonbip/resources/uap/rbac/login/main/index.html  tasks:    - name: 打开WEB登录页      flow:        - sleep: 1000    - name: 登录WEB BIP      flow:        - ai: 在用户名输入框输入 300032        - ai: 在密码输入框输入 192132@d        - ai: 点击登录按钮        - sleep: 1000    - name: 打开客户订单      flow:       - ai: 在页面右上角应用框输入  物料申请单       - ai: 点击菜单打开 物料申请单       - sleep: 2000       - ai: 在页面右上角点击新建按钮       - sleep: 2000       - ai: 在目的组织下拉框 选择集团       - ai: 在申请类型下拉框 选
http://118.178.57.62:3000/IFSWEB.yaml,http://118.178.57.62:3000/IFSWEB.yaml,无有效节点,0,200,0.52,否,3,1,1/3,2026-09-02 22:04:30,# yonbip-login.yaml  web:    url: https://ifsweb.zyd.cn/#/oldLogin  tasks:    - name: 打开WEB登录页      flow:        - sleep: 3000    - name: 登录WEB BIP      flow:        - ai: 在用户名输入框输入 RPA-01        - ai: 在密码输入框输入 zydRPA-01        - ai: 点击登录按钮        - sleep: 3000    - name: 打开客户订单      flow:       - ai: 在页面左边导航栏点击  销售管理       - ai: 点击菜单打开 概览客户订单       - sleep: 3000       - ai: 在页面右边筛选栏点击 查询       - sleep: 10000       - aiQuery: 查看页脚记录数     
http://118.178.57.62:3000/bipinv.txt,http://118.178.57.62:3000/bipinv.txt,无有效节点,0,200,0.5,否,3,1,1/3,2026-09-02 22:04:30,# 安装（全局）  npm install -g http-server    cd\YAML  http-server -p 3000 --cors    访问：http://118.178.57.62:3000/BIPINV.html
http://118.178.57.62:3000/run.txt,http://118.178.57.62:3000/run.txt,无有效节点,0,200,0.53,否,3,1,1/3,2026-09-02 22:04:30,--cd c:\Users\Administrator\WorkBuddy\Claw  npx @midscene/cli IFSWEB.yaml  
http://119.28.161.143/kr2.yaml,http://119.28.161.143/kr2.yaml,提取成功,1,200,0.32,否,3,1,1/3,2026-09-02 22:04:30,
http://120.244.125.9:88/hkipv6.yaml,http://120.244.125.9:88/hkipv6.yaml,提取成功,2,200,3.25,否,3,1,1/3,2026-09-02 22:04:30,
http://120.244.125.9:88/x2n.yaml,http://120.244.125.9:88/x2n.yaml,提取成功,1,200,2.99,否,3,1,1/3,2026-09-02 22:04:30,
http://120.48.125.117/aaa.txt,http://120.48.125.117/aaa.txt,提取成功,2,200,3.6,否,3,1,1/3,2026-09-02 22:04:30,
http://120.48.125.117/akko-sjc-1-e79241aa618f.txt,http://120.48.125.117/akko-sjc-1-e79241aa618f.txt,提取成功,1,200,0.54,否,3,1,1/3,2026-09-02 22:04:30,
http://120.48.125.117/akko-sjc-1-e79241aa618f.yaml,http://120.48.125.117/akko-sjc-1-e79241aa618f.yaml,提取成功,1,200,0.55,否,3,1,1/3,2026-09-02 22:04:30,
http://120.48.125.117/akko-sjc-1-mobile-8fcaeb3bc533.yaml,http://120.48.125.117/akko-sjc-1-mobile-8fcaeb3bc533.yaml,提取成功,1,200,0.53,否,3,1,1/3,2026-09-02 22:04:30,
http://120.48.125.117/akko-sjc-2-9ef21c07ed5f.txt,http://120.48.125.117/akko-sjc-2-9ef21c07ed5f.txt,提取成功,1,200,0.53,否,3,1,1/3,2026-09-02 22:04:30,
http://120.48.125.117/akko-sjc-2-9ef21c07ed5f.yaml,http://120.48.125.117/akko-sjc-2-9ef21c07ed5f.yaml,提取成功,1,200,3.59,否,3,1,1/3,2026-09-02 22:04:30,
http://120.48.125.117/akko-sjc-3-19c821a1e099.txt,http://120.48.125.117/akko-sjc-3-19c821a1e099.txt,提取成功,1,200,0.55,否,3,1,1/3,2026-09-02 22:04:30,
http://120.48.125.117/akko-sjc-3-19c821a1e099.yaml,http://120.48.125.117/akko-sjc-3-19c821a1e099.yaml,提取成功,1,200,0.52,否,3,1,1/3,2026-09-02 22:04:30,
http://120.48.125.117/akko-sjc-4-e5687a018461.txt,http://120.48.125.117/akko-sjc-4-e5687a018461.txt,提取成功,1,200,1.27,否,3,1,1/3,2026-09-02 22:04:30,
http://120.48.125.117/akko-sjc-4-e5687a018461.yaml,http://120.48.125.117/akko-sjc-4-e5687a018461.yaml,提取成功,1,200,0.54,否,3,1,1/3,2026-09-02 22:04:30,
http://120.48.125.117/lsj5-27-3e78b87d69a1.yaml,http://120.48.125.117/lsj5-27-3e78b87d69a1.yaml,提取成功,1,200,4.88,否,3,1,1/3,2026-09-02 22:04:30,
http://120.48.125.117/vpn.yaml,http://120.48.125.117/vpn.yaml,提取成功,1,200,1.3,否,3,1,1/3,2026-09-02 22:04:30,
http://123.60.172.142:9000/0130.yaml,http://123.60.172.142:9000/0130.yaml,提取成功,39,200,1.52,否,3,1,1/3,2026-09-02 22:04:30,
http://123.60.172.142:9000/1229.yaml,http://123.60.172.142:9000/1229.yaml,提取成功,39,200,1.38,否,3,1,1/3,2026-09-02 22:04:30,
http://123.60.172.142:9000/cm.yaml,http://123.60.172.142:9000/cm.yaml,提取成功,39,200,1.31,否,3,1,1/3,2026-09-02 22:04:30,
http://123.60.172.142:9000/hh.yaml,http://123.60.172.142:9000/hh.yaml,提取成功,40,200,1.45,否,3,1,1/3,2026-09-02 22:04:30,
http://128.201.61.161:8888/authdocker.txt,http://128.201.61.161:8888/authdocker.txt,无有效节点,0,200,4.4,否,3,1,1/3,2026-09-02 22:04:30,2026-08-16T00:28:38.811431+00:00 work360-lab2 sudo: mecloud360 : PWD=/home/mecloud360 ; USER=root ; COMMAND=/usr/bin/docker exec -i shared-db mariadb -unextcloud_born_pilot -p-MYSQL_PASSWORD=4a070ff9b82989878b053d0ab005ddc7 nextcloud_born_pilot 2026-08-16T00:29:01.350823+00:00 work360-lab2 sudo: mecloud360 : PWD=/home/mecloud360 ; USER=root ; COMMAND=/usr/bin/docker exec -i shared-db mariadb -unc_born_pilot -p4a070ff9b82989878b053d0ab005ddc7 nextcloud_born_pilot 2026-08-16T00:48:02.829466+00:00 
http://128.201.61.161:8888/born-fileids.txt,http://128.201.61.161:8888/born-fileids.txt,请求失败,0,0,0.0,否,3,1,1/3,2026-09-02 22:23:42,
http://128.201.61.161:8888/canary-tenants.yaml,http://128.201.61.161:8888/canary-tenants.yaml,无有效节点,0,200,0.33,否,3,1,1/3,2026-09-02 22:04:30,"# N65.2 — Canary tenant manifest (sidecar; BOM `tenant_nextcloud_image` = prod current) # Synced with releases/ via labwork-sync-releases --execute # # LAB channel tenants MUST NOT inherit prod rollout (F75/N76): pin digest here; # fleet promotion uses BOM current/candidate only — exclude slugs via nc_image_canary_digest_for(). # # Schema (required per tenant): name, repo, tag, digest, expires # Optional metadata: channel (lab|prod-canary), release (semver lab tag), fqdn tenants:   - name: pool-"
http://128.201.61.161:8888/cdirs.txt,http://128.201.61.161:8888/cdirs.txt,无有效节点,0,200,0.32,否,3,1,1/3,2026-09-02 22:04:30,0b029b4e2e9f4adef9747f9054c169ce3d637695806b72f08d833d324b871e79 0c81b0dfb2e49162caee4b0930b14e36e7b0baeef860a8e821035ff112fcf750 14440f04511bcca3a7a0d9e034e6b5631d65e4073552c0643ea33ed08a88c1ce 1600f6176a5b51cb92025b9427f2cdf10c084f2a034fd1f2256efe57f32654f9 1a7d759bc02244dd8f479addf79a0f15aca7cc42b8c9c971427ef25e7dba12b9 1fa3e35882207a5449c9c4f9ff4e1b4f25713315406e3b7f59cbb27e8ca3cc6b 2211da2948e283495b84c94a9d72a62440e1aee0c50de5f3e482e0c5a7391442 25a6ff24a20b749ce5fa0a2bf09a5f9a33127c3d84f0e
http://128.201.61.161:8888/dlog.txt,http://128.201.61.161:8888/dlog.txt,无有效节点,0,200,8.32,否,3,1,1/3,2026-09-02 22:04:30,"Aug 20 07:40:37 work360-lab2 dockerd[6620]: time=""2026-08-20T07:40:37.698423300Z"" level=info msg=""ignoring event"" container=88aca227553765b906af722fa310170ffb5a52e324046275985d2796193beddf module=libcontainerd namespace=moby topic=/tasks/delete type=""*events.TaskDelete"" Aug 20 07:40:40 work360-lab2 dockerd[6620]: time=""2026-08-20T07:40:40.859943607Z"" level=info msg=""ignoring event"" container=9a646971937d67a29161447d9c3344518926c165759746b45e47088fa43b209a module=libcontainerd namespace=moby topi"
http://128.201.61.161:8888/ev.txt,http://128.201.61.161:8888/ev.txt,请求失败,0,200,0.43,否,3,0,0/3,,
http://128.201.61.161:8888/hpb-images.pin.yaml,http://128.201.61.161:8888/hpb-images.pin.yaml,无有效节点,0,200,1.17,否,3,1,1/3,2026-09-02 22:04:30,# HPB image pin manifest — SSOT for field-proven digests (Sprint F127/F129) # Prod GO 2026-08-31 — work-talk-1.2.2 field pin (.119/.139/.161 lab) release: work-talk-1.2.2 fingerprint: sha256:e0a23a7ccd98af2a8501c45fd2d3fdba6bccc8cd1ba2f43c74117512e1f9dad6 version: 2 components:   signaling:     image_ref: softwarebeesy/nextcloud-spreed-signaling:2.1.1-work-talk-1.2.2     runtime_digest: sha256:3eeb742e039ad07745992c966f0989a2c4cabb84a2d77fdb6bcb7ab6a047ea18     distribution: local-only     note:
http://128.201.61.161:8888/images.txt,http://128.201.61.161:8888/images.txt,无有效节点,0,200,1.17,否,3,1,1/3,2026-09-02 22:04:30,ghcr.io/softwarebeesy/work-nextcloud-image:<none>	2724a6a57a11	35 hours ago ghcr.io/softwarebeesy/work-nextcloud-image:<none>	69f3692ce8ac	2 days ago ghcr.io/softwarebeesy/work-nextcloud-image:<none>	d92827c130da	2 days ago ghcr.io/softwarebeesy/work-nextcloud-image:<none>	83ac69a2dda6	2 days ago ghcr.io/softwarebeesy/work-nextcloud-image:<none>	e69c7f12685c	3 days ago ghcr.io/softwarebeesy/work-nextcloud-image:<none>	f0f719c067f9	3 days ago ghcr.io/softwarebeesy/work-nextcloud-image:<none>	1283
http://128.201.61.161:8888/mefw_cj.txt,http://128.201.61.161:8888/mefw_cj.txt,无有效节点,0,200,1.17,否,3,1,1/3,2026-09-02 22:04:30,# Netscape HTTP Cookie File # https://curl.se/docs/http-cookies.html # This file was generated by libcurl! Edit at your own risk.  #HttpOnly_10.100.11.1	FALSE	/	TRUE	0	PHPSESSID	d04978f4fc30126634b81dbc48c515d4 #HttpOnly_10.100.11.1	FALSE	/	TRUE	1787691524	cookie_test	551f8a644ad594b08d28aab7fd62420d 
http://128.201.61.161:8888/mefw_qga_api.txt,http://128.201.61.161:8888/mefw_qga_api.txt,无有效节点,0,200,1.17,否,3,1,1/3,2026-09-02 22:04:30,"{""response"":""OK""}"
